|URN|,|Unicode Symbol|,|Unicode Number|,|Unicode Name|,|Description|,|West Number|
|urn:cite2:zst:gvn:1.1|,|𝈀|,|0x1D200|,|[GREEK VOCAL NOTATION SYMBOL-1]|,|vocal E|,|1|
|urn:cite2:zst:gvn:1.2|,|𝈁|,|0x1D201|,|[GREEK VOCAL NOTATION SYMBOL-2]|,|vocal first sharp of E|,|2|
|urn:cite2:zst:gvn:1.3|,|𝈂|,|0x1D202|,|[GREEK VOCAL NOTATION SYMBOL-3]|,|vocal second sharp of E|,|3|
|urn:cite2:zst:gvn:2.1|,|𝈃|,|0x1D203|,|[GREEK VOCAL NOTATION SYMBOL-4]|,|vocal F|,|4|
|urn:cite2:zst:gvn:2.2|,|𝈄|,|0x1D204|,|[GREEK VOCAL NOTATION SYMBOL-5]|,|vocal first sharp of F|,|5|
|urn:cite2:zst:gvn:2.3|,|𝈅|,|0x1D205|,|[GREEK VOCAL NOTATION SYMBOL-6]|,|vocal second sharp of F|,|6|
|urn:cite2:zst:gvn:3.1|,|𝈆|,|0x1D206|,|[GREEK VOCAL NOTATION SYMBOL-7]|,|vocal G|,|7|
|urn:cite2:zst:gvn:3.2|,|𝈇|,|0x1D207|,|[GREEK VOCAL NOTATION SYMBOL-8]|,|vocal first sharp of G|,|8|
|urn:cite2:zst:gvn:3.3|,|𝈈|,|0x1D208|,|[GREEK VOCAL NOTATION SYMBOL-9]|,|vocal second sharp of G|,|9|
|urn:cite2:zst:gvn:4.1|,|𝈉|,|0x1D209|,|[GREEK VOCAL NOTATION SYMBOL-10]|,|vocal A|,|10|
|urn:cite2:zst:gvn:4.2|,|𝈊|,|0x1D20A|,|[GREEK VOCAL NOTATION SYMBOL-11]|,|vocal first sharp of A|,|11|
|urn:cite2:zst:gvn:4.3|,|𝈋|,|0x1D20B|,|[GREEK VOCAL NOTATION SYMBOL-12]|,|vocal second sharp of A|,|12|
|urn:cite2:zst:gvn:5.1|,|𝈌|,|0x1D20C|,|[GREEK VOCAL NOTATION SYMBOL-13]|,|vocal B|,|13|
|urn:cite2:zst:gvn:5.2|,|𝈍|,|0x1D20D|,|[GREEK VOCAL NOTATION SYMBOL-14]|,|vocal first sharp of B|,|14|
|urn:cite2:zst:gvn:5.3|,|𝈎|,|0x1D20E|,|[GREEK VOCAL NOTATION SYMBOL-15]|,|vocal second sharp of B|,|15|
|urn:cite2:zst:gvn:6.1|,|𝈏|,|0x1D20F|,|[GREEK VOCAL NOTATION SYMBOL-16]|,|vocal c|,|16|
|urn:cite2:zst:gvn:6.2|,|𝈐|,|0x1D210|,|[GREEK VOCAL NOTATION SYMBOL-17]|,|vocal first sharp of c|,|17|
